group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
19-27_M,1874,1044,830,0.0,15.95,"(1.903015554218996, 2.4367823792707064)",6.88,4.71,Two-Sample Welch's t-test,0.0,10.08,"(inf, 2851.7924641249415)",6553.77,4166.33,Two-Sample Welch's t-test,9.365077353279494,10.853342735358236,1.488265382078742,True,True
1-18_M,1470,834,636,0.0,10.75,"(1.1879744589410122, 1.7184912318024155)",6.55,5.1,Two-Sample Welch's t-test,0.0,6.0,"(inf, 1742.9760735165032)",5770.43,4456.67,Two-Sample Welch's t-test,5.501775761941337,8.128536591310425,2.6267608293690876,True,True
53+_M,1061,492,569,0.0,14.74,"(3.0267126464336593, 3.9572923628241687)",10.63,7.14,Two-Sample Welch's t-test,0.0,8.95,"(inf, 10072.146796461504)",18757.38,10497.53,Two-Sample Welch's t-test,7.955134273996556,6.98921696934314,-0.9659173046534159,True,True
53+_F,1060,520,540,0.0,15.04,"(3.1527840258339355, 4.0999652961449895)",11.12,7.49,Two-Sample Welch's t-test,0.0,10.99,"(inf, 13005.310458974884)",20186.98,9152.95,Two-Sample Welch's t-test,5.388637087781873,6.431292915931371,1.0426558281494982,True,True
1-18_F,1046,653,393,0.0,7.39,"(0.9290755135034903, 1.6006326111846658)",6.62,5.35,Two-Sample Welch's t-test,0.0,6.69,"(inf, 2149.123838940219)",5982.77,4321.34,Two-Sample Welch's t-test,3.557474202428417,7.297165690629313,3.7396914882008963,True,True
19-27_F,1032,687,345,0.0,6.73,"(0.8912445056517151, 1.6248098186464772)",6.77,5.51,Two-Sample Welch's t-test,0.0,4.69,"(inf, 2614.9857661351475)",7208.19,5364.3,Two-Sample Welch's t-test,5.757220977617174,9.394125578412694,3.63690460079552,True,True
46-52_M,913,493,420,0.0,12.34,"(2.5382441479494413, 3.499263951439185)",10.4,7.38,Two-Sample Welch's t-test,0.0,9.19,"(inf, 9270.842084385506)",14901.43,7263.15,Two-Sample Welch's t-test,4.282499875091853,6.534070904619707,2.2515710295278546,True,True
39-45_M,806,461,345,0.0,11.75,"(2.3028240597143657, 3.2273927025152003)",10.46,7.69,Two-Sample Welch's t-test,0.0,9.88,"(inf, 7693.444294553905)",13489.43,7071.97,Two-Sample Welch's t-test,3.223082579206367,5.457356701086695,2.234274121880328,True,True
46-52_F,780,430,350,0.0,11.53,"(2.4614679241605577, 3.472797328265103)",10.79,7.82,Two-Sample Welch's t-test,0.0,11.68,"(inf, 10066.807919011102)",15464.75,6847.5,Two-Sample Welch's t-test,3.018287825054606,5.34077957850986,2.322491753455254,True,True
39-45_F,669,401,268,0.0,11.5,"(2.356358787778823, 3.3270884994945833)",10.63,7.79,Two-Sample Welch's t-test,0.0,9.58,"(inf, 7584.398176038552)",13225.16,6930.72,Two-Sample Welch's t-test,2.1980485487186816,4.147453487156547,1.9494049384378649,True,True
